feature_set,feature,coefficient,abs_coefficient
behavior_label_history,tx_amount,2.0283660726881347,2.0283660726881347
behavior_label_history,terminal_fraud_count_7d_past,1.8294191497024894,1.8294191497024894
behavior_label_history,customer_median_amount_past,-0.8434159939366636,0.8434159939366636
behavior_label_history,customer_mean_amount_past,-0.74687641444011,0.74687641444011
behavior_label_history,customer_fraud_count_7d_past,0.6315676840565485,0.6315676840565485
behavior_label_history,log_tx_amount,-0.38700674726084766,0.38700674726084766
behavior_label_history,terminal_seconds_since_prev_tx,0.2731430202308868,0.2731430202308868
behavior_label_history,customer_fraud_rate_past,0.24408357063818262,0.24408357063818262
behavior_label_history,terminal_fraud_rate_past,0.23968071947810776,0.23968071947810776
behavior_label_history,customer_tx_count_7d_past,-0.21399863873129726,0.21399863873129726
behavior_label_history,customer_fraud_count_past,-0.2101804473650264,0.2101804473650264
behavior_label_history,terminal_fraud_count_past,-0.18841784318876104,0.18841784318876104
behavior_label_history,customer_tx_count_past,0.16855352466360513,0.16855352466360513
behavior_label_history,terminal_tx_count_7d_past,-0.11139612276004797,0.11139612276004797
behavior_label_history,customer_tx_count_1d_past,-0.09146369823077488,0.09146369823077488
behavior_label_history,customer_std_amount_past,0.07591046691704639,0.07591046691704639
behavior_label_history,terminal_tx_count_1d_past,-0.058402446792341085,0.058402446792341085
behavior_label_history,hour_sin,0.042624394080359236,0.042624394080359236
behavior_label_history,customer_seconds_since_prev_tx,0.025426574928232182,0.025426574928232182
behavior_label_history,hour_cos,-0.01596921894545259,0.01596921894545259
behavior_label_history,dayofweek_sin,-0.015428936056518567,0.015428936056518567
behavior_label_history,terminal_tx_count_past,-0.015146973425402978,0.015146973425402978
behavior_label_history,customer_terminal_tx_count_past,0.00961340537035787,0.00961340537035787
behavior_label_history,terminal_mean_amount_past,-0.008132064214261237,0.008132064214261237
behavior_label_history,dayofweek_cos,-8.161470990069152e-05,8.161470990069152e-05
behavior_unlabeled,tx_amount,0.7701383163960429,0.7701383163960429
behavior_unlabeled,customer_mean_amount_past,-0.4472743753174547,0.4472743753174547
behavior_unlabeled,customer_std_amount_past,0.4438313507652783,0.4438313507652783
behavior_unlabeled,customer_median_amount_past,-0.35464975282437367,0.35464975282437367
behavior_unlabeled,log_tx_amount,-0.21269146359330163,0.21269146359330163
behavior_unlabeled,terminal_mean_amount_past,0.11458052324585259,0.11458052324585259
behavior_unlabeled,customer_tx_count_past,0.11367051695675331,0.11367051695675331
behavior_unlabeled,terminal_tx_count_past,0.06721425558840935,0.06721425558840935
behavior_unlabeled,terminal_tx_count_7d_past,0.053799497720663406,0.053799497720663406
behavior_unlabeled,customer_tx_count_1d_past,-0.04298347725884166,0.04298347725884166
behavior_unlabeled,customer_seconds_since_prev_tx,0.0336332553083812,0.0336332553083812
behavior_unlabeled,terminal_seconds_since_prev_tx,0.030892968771850014,0.030892968771850014
behavior_unlabeled,customer_tx_count_7d_past,0.02133455738803011,0.02133455738803011
behavior_unlabeled,dayofweek_sin,0.010900549087197538,0.010900549087197538
behavior_unlabeled,hour_cos,0.010549976103061562,0.010549976103061562
behavior_unlabeled,customer_terminal_tx_count_past,0.007097885439032208,0.007097885439032208
behavior_unlabeled,dayofweek_cos,-0.005065181997949677,0.005065181997949677
behavior_unlabeled,terminal_tx_count_1d_past,-0.0009557632472867351,0.0009557632472867351
behavior_unlabeled,hour_sin,0.00021796839737332012,0.00021796839737332012
phase5_baseline,tx_amount,0.7567533855502667,0.7567533855502667
phase5_baseline,log_tx_amount,-0.44043575033829463,0.44043575033829463
phase5_baseline,dayofweek_sin,0.014677632071895456,0.014677632071895456
phase5_baseline,hour_cos,0.012437322463999133,0.012437322463999133
phase5_baseline,dayofweek_cos,-0.008514766188651468,0.008514766188651468
phase5_baseline,hour_sin,-0.00036630449988337896,0.00036630449988337896
